name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Candymonium,Hersheypark,operating,steel,Bolliger & Mabillard,1413.0,64.0,122.0,,,2020-07-03,,40.2863,-76.659,146
F.L.Y. (roller coaster),Phantasialand,operating,steel,Vekoma,1236.0,,78.1,1400,,,,50.7999,6.8792,
Max & Moritz (roller coaster),Efteling,operating,steel,Mack Rides,,,35.40548,1800,,2020-06-20,,51.6481,5.0474,150
Objectif Mars,Futuroscope,operating,steel,Intamin,500.0,,55.0,1000,,2020-06-13,,46.6718,0.3703,170
Orion (roller coaster),Kings Island,operating,steel,Bolliger & Mabillard,1622.0,87.0,146.0,1650,,2020-07-02,,39.3427,-84.2627,180
Pitts Special (roller coaster),PowerPark,operating,steel,Gerstlauer,,,99.77908,,4.5,2020-06-24,,63.2307,22.8545,
Sandy's Blasting Bronco,Nickelodeon Universe,operating,steel,Intamin,490.0,26.0,76.9,,,2020-10-01,,40.8056,-74.071,100
Texas Stingray,SeaWorld San Antonio,operating,wood,Great Coasters International,1030.0,29.0,89.0,,,2020-02-22,,29.4524,-98.699,
Wakala (roller coaster),Bellewaerde,operating,steel,Gerstlauer,660.0,21.0,50.1,1000,,2020-07-01,,50.849,2.9475,
West Coast Racers,Six Flags Magic Mountain,operating,steel,Premier Rides,1200.0,20.0,89.0,,,2020-01-09,,34.4217,-118.5992,180
Abyssus,Energylandia,operating,steel,Vekoma,1316.0,38.5,99.9,1000,4.5,2021-07-14,,49.9992,19.4011,
Dragon Slayer (roller coaster),Adventureland (Iowa),operating,steel,S&S - Sansei Technologies,230.0,34.0,55.0,,,2021-05-29,,41.651,-93.5024,
Jersey Devil Coaster,Six Flags Great Adventure,operating,steel,Rocky Mountain Construction,910.0,40.0,93.0,,,2021-06-13,,40.1377,-74.4405,
Kondaa,Walibi Belgium,operating,steel,Intamin,1200.0,50.0,113.0,1080,,2021-05-08,,50.6977,4.585,90
Krampus Expédition,Nigloland,operating,steel,Mack Rides,600.0,28.0,79.0,850,3.5,2021-06-12,,-48.2617,4.6142,240
Looping Star (Clacton Pier),Clacton Pier,operating,steel,Pinfari,,,,,,2021-10-23,,51.7864,-1.155,77
Monster (Gröna Lund),Gröna Lund,operating,steel,Bolliger & Mabillard,700.0,34.0,90.0,,4.5,2021-06-02,,59.3239,18.0961,
Steel Taipan,Dreamworld,in_production,steel,Mack Rides,1200.0,39.0,104.9,820,3.8,2021-01-01,,-27.8623,153.3152,
Storm Chaser (Paultons Park),Paultons Park,operating,steel,Mack Rides,,20.0,,,,2021-04-12,,50.949,-1.5505,
Stunt Pilot (roller coaster),Silverwood Theme Park,operating,steel,Rocky Mountain Construction,550.0,32.0,84.0,,,2021-05-29,,47.9065,-116.708,
The Ride to Happiness,Plopsaland De Panne,operating,steel,Mack Rides,920.0,33.0,90.0,700,,2021-07-01,,51.081,2.5989,
VelociCoaster,Universal's Islands of Adventure,operating,steel,Intamin,1400.0,47.0,110.0,,,2021-06-10,,28.4713,-81.472,
Aquaman: Power Wave,Six Flags Over Texas,in_production,steel,Mack Rides,216.0,44.6,99.9,731,,2022-01-01,,32.756,-97.071,
ArieForce One,Fun Spot America Atlanta,in_production,steel,Rocky Mountain Construction,1000.0,47.0,103.0,900,3.75,2022-01-01,,,,100
Defiance (roller coaster),Glenwood Caverns Adventure Park,in_production,steel,Gerstlauer,,23.0,90.0,,,2022-01-01,,,,
Dr. Diabolical’s Cliffhanger,Six Flags Fiesta Texas,in_production,steel,Bolliger & Mabillard,762.0,46.0,97.0,,,2022-01-01,,,,
Emperor (roller coaster),SeaWorld San Diego,in_production,steel,Bolliger & Mabillard,735.0,47.0,101.0,700,,2022-03-01,,32.764,-117.2224,70
Fønix (roller coaster),Fårup Sommerland,in_production,steel,Vekoma,905.0,40.0,95.0,900,4.1,,,,,
Guardians of the Galaxy: Cosmic Rewind,Epcot,in_production,steel,Vekoma,1700.0,,,,,2022-01-01,,,,
Ice Breaker (roller coaster),SeaWorld Orlando,in_production,steel,Premier Rides,580.0,28.0,84.0,,,2022-02-01,,28.4088,-81.4633,
Leviathan (Sea World),Sea World,in_production,wood,Martin & Vleminckx,,,79.984198,720,,2022-01-01,,-27.9574,153.4263,
Pantheon (roller coaster),Busch Gardens Williamsburg,in_production,steel,Intamin,1014.0,54.0,117.0,,,2022-01-01,,37.2339,-76.6426,
Tumbili,Kings Dominion,in_production,steel,S&S – Sansei Technologies,230.0,34.0,55.0,,,,,,,55
Wonder Woman Flight of Courage,Six Flags Magic Mountain,in_production,steel,Rocky Mountain Construction,1000.0,40.0,93.0,,,2022-01-01,,,,
