name,location,status,material,manufacturer,length_in_m,height_in_m,speed_in_kmh,capacity,g_force,opening_date,closing_year,latitude,longitude,duration_in_seconds
Glissade (roller coaster),Busch Gardens Williamsburg,closed,steel,Anton Schwarzkopf,,,,,,1975-01-01,1985,37.235,-76.644,
Racer 75,Other,operating,wood,Philadelphia Toboggan Coasters,1026.7,25.9,90.1,1200,4.2,1975-05-03,,37.8371,-77.4449,135
Rockin' Roller,Six Flags St. Louis,closed,steel,Bradley and Kaye,,,,,,1975-01-01,2006,38.5128,-90.675,
Scooby-Doo (Carowinds),Carowinds,operating,wood,Philadelphia Toboggan Coasters,413.0,12.0,58.0,1250,,1975-01-01,,35.101,-80.9394,60
Space Mountain (Magic Kingdom),Other,operating,steel,Arrow Development,974.1,27.4,43.5,,3.7,1975-01-15,,28.4192,-81.5772,150
Wabash Cannonball (roller coaster),Opryland USA,closed,steel,Arrow Development,380.0,21.0,80.0,480,,1975-01-01,1997,36.2089,-86.6984,70
Alpen Blitz,Six Flags Great Adventure,closed,steel,Anton Schwarzkopf,550.0,4.9,16.0,,1.0,1976-01-01,1978,40.1371,-74.4411,22
Corkscrew (Cedar Point),Cedar Point,operating,steel,Arrow Development,620.0,26.0,77.0,1800,,1976-05-15,,41.4836,-82.6853,120
Demon (roller coaster),Other,unknown,steel,Arrow Dynamics,650.0,31.0,80.0,1300,,,,,,105
Extremeroller,Worlds of Fun,closed,steel,Arrow Dynamics,380.0,21.0,80.0,1800,,1976-01-01,1988,39.1728,-94.4892,70
Gulf Coaster,Other,unknown,steel,Allan Herschell Company,,,,,,,,,,
High Roller (Valleyfair),Valleyfair,operating,wood,Rauenhorst Corporation,909.0,21.0,80.0,1150,3.2,1976-01-01,,44.8006,-93.4578,105
Jet Star 2 (Lagoon),Lagoon Amusement Park,operating,steel,Anton Schwarzkopf,583.2,13.5,,,,1976-01-01,,40.9869,-111.8936,
Jumbo Jet (Morey's Piers),Morey's Piers,closed,steel,Anton Schwarzkopf,870.0,17.0,80.0,1200,,1976-01-01,1987,38.986,-74.809,143
Lil' Thunder,Six Flags Great Adventure,closed,steel,Molina & Sons,61.0,2.7,8.0,,,1976-01-01,1983,40.138,-74.44,27
Mild Thing,Valleyfair,closed,steel,Allan Herschell Company,,,,450,,1976-01-01,2010,44.7996,-93.4575,
Python (Busch Gardens Tampa Bay),Busch Gardens Tampa Bay,closed,steel,Arrow Development,370.0,22.0,64.0,,,1976-07-01,"October 31, 2006",28.039,-82.4251,68
The New Revolution (roller coaster),Six Flags Magic Mountain,operating,steel,Anton Schwarzkopf,1054.0,34.0,89.0,1400,4.9,1976-05-08,,34.4228,-118.5964,79
Screamin' Eagle,Six Flags St. Louis,operating,wood,Philadelphia Toboggan Coasters,1180.0,34.0,100.0,,,1976-04-10,,38.5164,-90.6761,150
Texas Cyclone,Six Flags AstroWorld,closed,wood,Frontier Construction Company,970.0,28.0,,,,1976-06-12,"October 30, 2005",29.6767,-95.4097,135
Thunder Road (roller coaster),Other,closed,wood,Philadelphia Toboggan Coasters,1164.0,28.3,93.3,,3.4,1976-04-03,"July 26, 2015",35.1004,-80.9426,130
Whizzer (roller coaster),Other,unknown,other,Anton Schwarzkopf,940.0,21.0,68.0,810,3.0,,1988,,,120
Double Loop (Geauga Lake),Geauga Lake,closed,steel,Arrow Dynamics,550.0,29.0,58.0,525,,1977-01-01,"September 16, 2007",41.3528,-81.3774,90
Screamin' Demon,Other,unknown,steel,Arrow Dynamics,194.0,17.0,72.0,,4.0,,,,,66
Shuttle Loop,Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
SooperDooperLooper,Hersheypark,operating,steel,Anton Schwarzkopf,797.0,23.0,72.0,1175,,1977-07-04,,40.2864,-76.6536,105
Space Mountain (Disneyland),Disneyland,operating,steel,Arrow Development (1977–2003)Dynamic Structures (2005–present)]],1054.0,23.0,56.0,2057,,1977-05-27,"April 10, 2003 (original)",33.811,-117.9174,180
Steeplechase (Blackpool Pleasure Beach),Blackpool Pleasure Beach,operating,steel,Arrow Dynamics,,,,,,1977-01-01,,53.7888,-3.0558,
Arkansas Twister,Magic Springs and Crystal Falls,operating,wood,Michael Black and Associates,1020.0,29.0,80.0,,,1978-01-01,,34.5213,-93.0143,120
Colossus (Six Flags Magic Mountain),Six Flags Magic Mountain,operating,steel,Rocky Mountain Construction,1520.0,37.0,92.0,,,2015-05-23,,34.4278,-118.5975,220
Gemini (roller coaster),Other,operating,steel,Arrow Dynamics,1199.4,38.1,96.6,3300,,1978-06-17,,41.4863,-82.6897,160
Greezed Lightnin' (Six Flags Astroworld),Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Lightnin' Loops,Other,unknown,steel,Arrow Development,194.0,17.0,72.0,,4.0,,,40.1358,-74.4437,66
Loch Ness Monster (roller coaster),Busch Gardens Williamsburg,operating,steel,Arrow Development,990.0,40.0,97.0,800,3.5,1978-06-06,,37.2343,-76.646,130
Montezooma's Revenge,Knott's Berry Farm,operating,steel,Anton Schwarzkopf,240.0,45.0,89.0,1344,,1978-05-21,,33.8456,-117.999,36
Schweizer Bobbahn,Heide Park,operating,steel,Mack Rides,990.0,27.0,52.9,,,1978-08-19,,,,100
Shock Wave (Six Flags Over Texas),Six Flags Over Texas,operating,steel,Anton Schwarzkopf,1100.0,35.0,97.0,,5.9,1978-04-22,,32.7589,-97.0706,120
The Riddler Mindbender,Six Flags Over Georgia,operating,steel,Anton Schwarzkopf,992.0,24.0,80.0,1200,,1978-03-31,,33.7703,-84.5475,153
Tornado (Adventureland),Adventureland (Iowa),operating,wood,Frontier Construction Company,870.0,28.0,93.0,,,1978-07-04,,41.6515,-93.5025,120
Wild Rider,Six Flags Great Adventure,closed,steel,Anton Schwarzkopf,,,,,,1978-01-01,1980,40.1363,-74.4416,
The Beast (roller coaster),Kings Island,operating,wood,Kings Island,2243.0,34.0,104.25,1200,3.6,1979-04-14,,39.3402,-84.266,250
Big Thunder Mountain Railroad,Other,unknown,steel,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",,32.0,56.0,,,,,,,
Big Thunder Mountain Railroad (Disneyland),Other,unknown,steel,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",,32.0,56.0,,,,,,,
Corkscrew (Michigan's Adventure),"Muskegon, Michigan, United States",operating,other,,,,,,,,,43.3474,-86.2789,
Momonga Standing and Loop Coaster,Yomiuriland,closed,steel,TOGO,420.0,25.0,75.0,,,1979-01-01,"September 20, 2021",35.6245,139.5193,70
Revolution (Blackpool Pleasure Beach),Blackpool Pleasure Beach,operating,steel,Arrow Development,194.0,17.0,72.0,,4.0,1979-01-01,,53.7899,-3.0551,66
Rolling Thunder (roller coaster),Other,closed,wood,William Cobb & Associates,975.4,29.3,90.1,3840,,1979-01-01,"September 8, 2013",40.1394,-74.4343,130
WildCat (Cedar Point),Cedar Point,closed,steel,Anton Schwarzkopf,560.0,15.0,64.0,900,,1979-01-01,2011,41.4817,-82.685,85
Wilderness Run,Cedar Point,operating,steel,Intamin,135.0,5.8,9.7,,,1979-01-01,,41.4856,-82.6886,50
Carolina Cyclone,Carowinds,operating,steel,Arrow Dynamics,640.0,29.0,66.0,1600,3.5,1980-03-22,,35.1042,-80.9436,90
Corkscrew (Alton Towers),Alton Towers,closed,other,Vekoma,750.0,23.0,64.0,1400,3.1,1980-04-04,9 November 2008,52.9847,-1.8904,130
Corkscrew (Valleyfair),Valleyfair,operating,steel,Arrow Dynamics,590.0,26.0,80.0,1300,3.5,1980-01-01,,44.7996,-93.4563,
Judge Roy Scream,Six Flags Over Texas,operating,wood,William Cobb & Associates,810.0,22.0,72.0,1200,4.0,1980-03-01,,32.7554,-97.0673,90
Orient Express (roller coaster),Worlds of Fun,closed,steel,Arrow Dynamics,1060.0,36.0,80.0,1550,3.5,1980-04-04,"October 26, 2003",39.1761,-94.4883,120
Scorpion (roller coaster),Busch Gardens Tampa Bay,operating,steel,Anton Schwarzkopf,554.0,18.5,66.0,,3.5,1980-05-16,,28.0375,-82.4233,90
Shuttle Loop (Nagashima Spa Land),Nagashima Spa Land,operating,steel,Anton Schwarzkopf,,,92.0,28,,1980-01-01,,35.0303,136.7308,30
The Beastie (Kings Island),Kings Island,operating,wood,Philadelphia Toboggan Coasters,410.0,11.8,56.0,1200,,1972-01-01,,39.3432,-84.2693,90
American Eagle (roller coaster),Other,operating,wood,Intamin,1417.3,38.7,106.2,1800,,1981-05-23,,42.3646,-87.9336,143
The Bat (Kings Island; opened 1981),Kings Island,closed,steel,Arrow Development,749.0,30.0,55.0,1700,,1981-04-26,August 1983,39.3408,-84.2646,
Colossus (Playcenter São Paulo),Other,unknown,steel,Anton Schwarzkopf,670.0,28.0,84.0,,,,,,,120
Dragon Fyre,Canada's Wonderland,operating,steel,Arrow Dynamics,,,80.467,,,1981-01-01,,43.8445,-79.5407,90
Ghoster Coaster (Canada's Wonderland),Canada's Wonderland,operating,wood,Taft Broadcasting,,,56.3269,,,1981-05-23,,43.8438,-79.546,80
Hoot N Holler,Six Flags Darien Lake,operating,steel,Zierer,60.2,3.3,26.1,600,,1981-01-01,,42.9272,-78.3823,
Mighty Canadian Minebuster,Canada's Wonderland,operating,wood,Canada's Wonderland,,,89.96210599999999,,,1981-01-01,,43.8392,-79.5419,122
Python (Efteling),Efteling,operating,steel,Vekoma,,,75.63898,1400,3.5,1981-04-12,,51.6469,5.0536,128
Super Manège,La Ronde,closed,steel,Vekoma,,,64.3736,,,1981-01-01,"August 25, 2019",45.5238,-73.5325,
Thunder Run (Canada's Wonderland),Canada's Wonderland,operating,steel,Mack Rides,,,64.3736,,,1981-05-23,,43.8427,-79.5423,84
Wilde Beast,Canada's Wonderland,operating,wood,Taft Broadcasting Company,,,90.12304,,,1981-01-01,,43.8441,-79.5432,180
Grizzly (Kings Dominion),Kings Dominion,operating,wood,Taft Broadcasting Company,960.0,27.0,82.0,,,1982-03-27,,37.8375,-77.4471,150
Looping Star (Nagashima Spa Land),Nagashima Spa Land,operating,steel,Anton Schwarzkopf,592.0,24.0,64.0,,,1982-01-01,,35.0306,136.7323,78
Sea Viper (roller coaster),Sea World,closed,steel,Arrow Dynamics,,,69.20162,,,1982-09-17,17 July 2014,-27.9569,153.4265,95
Thrillseeker (roller coaster),Sea World,closed,steel,S.D.C.,,,64.3736,,,1982-01-01,May 2002,-27.9567,153.425,120
Thunderbolt (Dreamworld),Dreamworld,closed,steel,Sanoyas Hishino Meisho,,,86.90436,960,,1982-04-01,8 August 2003,-27.8651,153.3165,
Viper (Six Flags Darien Lake),Six Flags Darien Lake,operating,steel,Arrow Dynamics,940.0,37.0,80.0,2100,,1982-05-29,,42.9283,-78.3817,124
Vortex (Calaway Park),Calaway Park,operating,steel,Arrow Dynamics,,,,,,1982-01-01,,51.0875,-114.3594,
Alpen Blitz (Parque de la Ciudad),"Argentina, Villa Soldati, Buenos Aires",unknown,other,,,,,,,,,,,
Beastie (Alton Towers),Alton Towers,closed,steel,Pinfari,133.0,4.0,27.0,200,,1983-01-01,"November 7, 2010",52.9893,-1.8945,105
Black Hole (roller coaster),Alton Towers,closed,steel,Anton Schwarzkopf,584.99,13.49,51.0,900,2.9,1983-01-01,2005,52.9873,-1.8953,110
Colossus the Fire Dragon,Lagoon Amusement Park,operating,steel,Anton Schwarzkopf,870.0,26.0,89.0,,4.9,1983-01-01,,40.9836,-111.8951,105
Cyclone (Six Flags New England),Six Flags New England,operating,steel,Rocky Mountain Construction,1010.0,33.0,89.0,,,2015-05-24,,42.0403,-72.6156,
Dragon Mountain,Marineland of Canada,operating,steel,Arrow Huss,1700.0,57.0,80.0,,,1983-07-16,,43.0613,-79.0804,210
Flitzer,Morey's Piers,closed,steel,Zierer,,,,240,,1983-01-01,"September 30, 2018",38.9893,-74.8033,49
Moonsault Scramble,Fuji-Q Highland,closed,steel,Meisho Amusement Machines,460.0,70.0,90.0,,6.5,1983-06-24,April 2000,35.487,138.78,
Sky Screamer (Six Flags AstroWorld),Six Flags AstroWorld,unknown,other,Intamin,,40.0,,,4.5,1983-01-01,1990s,29.675,-95.407,
Space Mountain (Tokyo Disneyland),Other,operating,steel,,1051.6,25.9,48.3,,,1983-04-15,,,,165
Timberline Twister,"8039 Beach BoulevardBuena Park, California 90620, U.S.",unknown,other,,,,,,,,,33.8442,-118.0003,
Alpenexpress Enzian,Europa-Park,operating,steel,Mack Rides,,,45.06152,1100,,1984-01-01,,,,100
Alpine Bobsled,Other,unknown,steel,Intamin,450.0,20.0,56.0,,,,,,,60
Astro Storm,Other,unknown,steel,Zierer,450.0,,60.0,,2.6,,September 2008,,,90
Big Bad Wolf (roller coaster),Busch Gardens Williamsburg,closed,steel,Arrow Dynamics,850.0,34.0,77.0,,4.0,1984-06-15,"September 7, 2009",37.2335,-76.6449,180
Boomerang (roller coaster),Other,in_production,other,Vekoma,,,76.0,760,,,,,,148
Flying Fish (roller coaster),Thorpe Park,operating,steel,Mack Rides,234.0,6.1,27.0,1100,2.1,1984-01-01,,51.4052,-0.5139,
King Cobra (roller coaster),Kings Island,closed,steel,TOGO,676.0,29.0,80.0,1250,,1984-04-22,"November 5, 2001",39.345,-84.2659,120
Sea Serpent (Morey's Piers),Morey's Piers,operating,steel,Vekoma,285.0,38.0,76.0,760,5.2,1984-01-01,,38.9858,-74.8097,108
Steamin' Demon,Great Escape,operating,steel,Arrow Dynamics,477.0,29.0,72.0,,,1984-05-26,,43.3513,-73.6927,37
Tig'rr Coaster,Indiana Beach,operating,steel,Anton Schwarzkopf,538.0,13.49,50.1,,,1984-01-01,,40.7903,-86.7706,
Ultra Twister (Nagashima Spa Land),Nagashima Spa Land,operating,steel,TOGO,,,,,,1989-01-01,,35.0285,136.7326,78
La Vibora,Other,unknown,steel,Intamin,450.0,18.0,51.0,600,,,1985,,,90
XLR-8,Six Flags AstroWorld,closed,steel,Arrow Dynamics,910.0,25.0,54.9,,,1984-05-12,"October 30, 2005",29.6748,-95.4056,180
The Bush Beast,Wonderland Sydney,closed,wood,Taft Broadcasting,,,90.12304,880,,1985-12-07,26 April 2004,-33.8008,150.8512,150
Disaster Transport,Cedar Point,closed,steel,Intamin,589.0,19.0,64.0,1800,2.7,1985-01-01,"July 29, 2012",41.4811,-82.6794,152
Flashback (Six Flags Magic Mountain),Other,unknown,steel,Intamin,580.0,26.0,56.0,1100,3.0,,,,,90
Freestyle (roller coaster),Other,unknown,steel,TOGO,,,82.07634,,,,"September 1, 2014",,,92
Kikkerachtbaan,Duinrell,operating,steel,Zierer,,,35.40548,1250,,1985-01-01,,52.1466,4.379,70
Klondike Gold Mine (roller coaster),Other,unknown,steel,Pinfari,,,,,,,,,,
Shaman (roller coaster),Gardaland,operating,steel,Vekoma,700.0,30.0,70.0,1000,,1985-01-01,,45.4567,10.7072,120
Mindbender (Galaxyland),Galaxyland,under_maintenance,steel,Anton Schwarzkopf,,,96.5604,430,5.2,1985-12-20,,53.5236,-113.6203,73
Le Monstre,Other,operating,wood,Martin & Vleminckx,1218.0,39.9,96.1,,,1985-07-20,,45.525,-73.5333,
Phoenix (roller coaster),Knoebels Amusement Resort,operating,wood,Philadelphia Toboggan Coasters,980.0,24.0,72.0,720,,1985-06-15,,40.8783,-76.5064,120
Steel First,Other,unknown,steel,Allan Herschell Company,,,,,,1985-01-01,,,,
Swiss Bob,Efteling,closed,steel,Intamin,542.0,20.0,60.0,750,,1985-04-04,1 September 2019[1],51.648,5.0474,210
Texas Tornado (roller coaster),Wonderland Park (Texas),operating,steel,Hopkins Rides,620.0,,,,,1985-01-01,,35.2437,-101.8321,
The Beastie (Wonderland Sydney),"Eastern Creek, New South Wales, New South Wales, Australia",unknown,other,,,,,,,,,-33.8012,150.8475,
Wild Mouse (Idlewild),Idlewild and Soak Zone,operating,steel,Vekoma,500.0,17.0,48.0,,,1985-01-01,,40.2598,-79.2799,
Eureka Mountain Mine Ride,Dreamworld,closed,steel,HyFab,,,48.2802,,,1986-12-11,7 November 2006,-27.8626,153.3158,70
The Grizzly,California's Great America,operating,wood,Kings Island,990.0,28.0,89.0,,,1986-01-01,,37.393,-121.9714,160
Shockwave (Kings Dominion),Kings Dominion,closed,steel,TOGO,680.0,29.0,80.0,960,,1986-03-23,"August 9, 2015",37.8386,-77.4447,120
Silver Bullet (Frontier City),Other,unknown,steel,Anton Schwarzkopf,592.0,24.0,76.9,1700,,,,,,
Ultra Twister (Six Flags),Other,unknown,steel,TOGO,433.0,29.5,71.0,,,,,,,100
The Bat (Canada's Wonderland),Other,unknown,other,,,,,,,,,43.8442,-79.5414,
Big Thunder Mountain Railroad (Tokyo Disneyland),Other,unknown,steel,"Arrow Development (California and Florida)Dynamic Structures (2014 California rebuild)Vekoma (Paris, Tokyo)",,32.0,56.0,,,,,,,
Canobie Corkscrew,Canobie Lake Park,closed,steel,Arrow Development,,22.0,72.0,,,1975-01-01,2021,42.7935,-71.2499,90
Dreamcatcher (roller coaster),Bobbejaanland,operating,steel,Vekoma,,,,,,1987-01-01,,51.1993,4.909,
Iron Dragon (roller coaster),Cedar Point,operating,steel,Arrow Dynamics,850.0,23.0,64.0,2000,,1987-06-11,,41.4822,-82.6852,160
Knightmare (Camelot),Other,closed,other,Zierer,,27.0,64.0,,5.0,,,,,
Lisebergbanan,Liseberg,operating,steel,Zierer,,,80.467,2000,3.0,1987-04-18,,57.695,11.9925,
Raptor Attack,Lightwater Valley,closed,steel,Anton Schwarzkopf,560.0,15.0,64.0,,,1987-04-02,,54.1739,-1.5687,85
Runaway Train (roller coaster),Chessington World of Adventures,operating,steel,Mack Rides,,,36.0,700,,1987-06-07,,51.3494,-0.318,105
Scorpion Express,Chessington World of Adventures,operating,steel,Mack Rides,,,36.0,700,,1987-06-07,,51.3494,-0.318,105
Skyliner (roller coaster),Other,unknown,wood,Philadelphia Toboggan Coasters,730.0,18.0,64.0,,,,1985,,,
Vortex (Kings Island),Kings Island,closed,steel,Arrow Dynamics,1200.0,45.0,89.0,1600,3.9,1987-04-11,"October 27, 2019",39.3407,-84.2642,150
Woodstock's Express (California's Great America),Other,unknown,steel,Intamin,400.0,4.0,,,,,1986,40.5793,-75.5326,
Avalanche (Blackpool Pleasure Beach),Blackpool Pleasure Beach,operating,steel,Mack Rides,354.0,18.0,72.0,,,1988-06-22,,53.7901,-3.0559,82
Avalanche (Kings Dominion),Kings Dominion,closed,steel,Mack Rides,980.0,21.0,66.0,,3.4,1988-03-26,,37.8401,-77.4407,90
Bandit (Yomiuriland),Yomiuriland,operating,steel,TOGO,1560.0,51.0,109.9,1260,,1988-03-01,,35.6255,139.5181,138
Beast (Alton Towers),"Alton, Staffordshire, England",unknown,other,,,,,,,,,52.9875,-1.8908,
Boomerang (Six Flags México),Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,1986,19.2934,-99.2078,108
Cobra (La Ronde),Other,unknown,steel,Intamin,785.0,27.0,77.0,,,,,,,
Crazy Bats,Phantasialand,operating,steel,Vekoma,1174.0,11.7,46.5,1600,,1988-04-01,,50.801,6.878,240
Jetline,Gröna Lund,operating,steel,Anton Schwarzkopf,800.0,32.0,90.0,1300,4.5,1988-01-01,,59.3231,18.0956,90
Ninja (Six Flags Magic Mountain),Six Flags Magic Mountain,operating,steel,Arrow Dynamics,820.0,18.0,89.0,1600,2.9,1988-05-21,,34.4222,-118.5983,90
Raging Wolf Bobs,Geauga Lake,closed,wood,Dinn Corporation,1044.0,24.0,80.0,,,1988-05-28,"June 16, 2007",41.3525,-81.3722,120
Shockwave (Six Flags Great America),Six Flags Great America,closed,steel,Arrow Dynamics,1200.0,52.0,105.0,2000,,1988-06-03,2002,42.3712,-87.9343,140
Thunderbolt Express,Other,unknown,steel,Arrow Dynamics,194.0,17.0,72.0,,4.0,,,,,66
Wipeout (roller coaster),Pleasurewood Hills,operating,steel,Vekoma,285.0,37.0,80.0,760,,2007-01-01,,52.5075,1.7434,
Wolverine Wildcat,Michigan's Adventure,operating,wood,Dinn Corporation,910.0,26.0,89.0,700,,1988-05-18,,43.3436,-86.2775,120
Anaconda (Walygator Parc),Walygator Parc,operating,other,William Cobb,1200.0,36.0,,,,1989-01-01,,,,130
Eurosat - CanCan Coaster,Europa-Park,operating,steel,Mack Rides,,,59.54558,1600,4.0,1989-01-01,"November 5, 2017[1]",,,200
Excalibur (Valleyfair),Valleyfair,operating,steel,Arrow Dynamics,736.0,30.0,87.7,1200,3.6,1989-01-01,,44.7995,-93.462,137
Flashback (Six Flags Over Texas),Other,unknown,steel,Vekoma,285.0,35.5,76.0,760,5.2,,"September 3, 2012",,,108
Goudurix,Parc Astérix,operating,steel,Vekoma,,,90.12304,,3.9,1989-01-01,,49.1314,2.5714,80
Great American Scream Machine (Six Flags Great Adventure),Six Flags Great Adventure,closed,steel,Arrow Dynamics,1200.0,53.0,109.0,1680,3.8,1989-04-15,"July 18, 2010",40.1391,-74.4381,140
Hercules (roller coaster),Dorney Park & Wildwater Kingdom,closed,wood,Dinn Corporation,1200.0,29.0,105.0,,,1989-05-06,"September 1, 2003",40.5811,-75.5322,135
Magnum XL-200,Cedar Point,operating,steel,Arrow Dynamics,1556.0,62.0,116.0,2000,,1989-05-06,,41.4853,-82.6861,120
Ninja (Six Flags St. Louis),Other,unknown,steel,Vekoma,740.0,33.0,88.0,,,,October 1986,38.5149,-90.6739,120
Olympia Looping,Oktoberfest,operating,steel,BHS,1250.0,34.0,84.0,,5.2,1989-09-17,,48.131,11.549,105
Timber Wolf (roller coaster),Worlds of Fun,operating,wood,Dinn Corporation,1300.0,30.0,85.0,905,,1989-04-01,,39.1728,-94.4892,133
Vekoma Illusion,Bobbejaanland,operating,steel,Vekoma,,,49.88954,1200,,1989-06-15,,51.1993,4.909,140
Viper (Six Flags AstroWorld),Other,unknown,steel,Anton Schwarzkopf,592.0,24.0,76.9,1700,,,,,,
Corkscrew (Silverwood),Other,unknown,steel,Arrow Development,380.0,22.0,74.0,600,,,1989,,,75
Dragon (Adventureland),Adventureland (Iowa),closed,steel,Hopkins Rides,800.0,27.0,89.0,800,4.5,1990-05-12,"September 29, 2019",41.6504,-93.5014,120
Flashback (Six Flags New England),Other,unknown,steel,Vekoma,285.0,36.0,76.0,760,5.2,,,,,108
Iron Wolf (roller coaster),Other,unknown,steel,Bolliger & Mabillard,880.0,30.0,89.0,1220,,,"September 5, 2011",,,120
Pikajuna,Linnanmäki,operating,steel,Mack Rides,,,37.01482,,,1990-01-01,,60.1875,24.9381,95
Predator (roller coaster),Six Flags Darien Lake,operating,wood,Dinn Corporation,1000.0,29.0,80.0,1300,,1990-05-25,,42.9292,-78.3861,110
Texas Giant,Six Flags Over Texas,operating,steel,Rocky Mountain Construction,1300.0,47.0,105.0,1600,4.2,2011-04-22,,32.7564,-97.0731,205
Thunder Looper,Other,closed,other,Anton Schwarzkopf,,,,1300,,,,,,
Thunder Run (Kentucky Kingdom),Kentucky Kingdom,operating,wood,Dinn Corporation,870.0,27.0,85.0,,,1990-08-01,,38.1956,-85.7475,114
Tigre de Sibérie,Le Pal,operating,steel,Reverchon Industries,360.0,13.0,40.1,,,1990-01-01,,,,
Twisted Cyclone,Six Flags Over Georgia,operating,steel,Rocky Mountain Construction,730.0,30.0,80.0,,,2018-05-25,,33.7703,-84.5522,
Vampire (roller coaster),Chessington World of Adventures,operating,steel,Arrow Dynamics,670.0,21.0,72.0,,4.0,1990-04-11,,51.3473,-0.3156,
Viper (Six Flags Magic Mountain),Six Flags Magic Mountain,operating,steel,Arrow Dynamics,1170.0,57.0,110.0,1700,4.1,1990-04-07,,34.4208,-118.5953,150
Adventure Express,Kings Island,operating,steel,Arrow Dynamics,903.0,19.0,56.0,1600,3.8,1991-04-13,,39.3445,-84.2648,140
Afterburner (Fun Spot),Fun Spot Amusement Park & Zoo,closed,steel,Arrow Development,194.0,17.0,72.0,,4.0,1991-01-01,2008,41.6769,-85.0312,66
Anaconda (roller coaster),Kings Dominion,operating,steel,Arrow Dynamics,820.0,39.0,80.0,1400,5.1,1991-03-23,,37.8392,-77.4402,110
Pegasus (Efteling),Efteling,closed,wood,Dinn Corporation,492.0,15.0,55.0,1400,3.5,1991-07-01,"June 19, 2009",51.6469,5.0519,103
Psyclone (roller coaster),Six Flags Magic Mountain,closed,wood,Dinn Corporation,910.0,29.0,80.0,1200,3.0,1991-03-23,2006,34.421,-118.6003,110
Sidewinder (Hersheypark),Hersheypark,operating,steel,Vekoma,285.0,35.5,76.0,760,5.2,1991-05-11,,40.2899,-76.6538,108
Steel Phantom,Kennywood,operating,steel,D. H. Morgan Manufacturing,980.0,49.0,137.0,1400,3.5,1991-05-10,,40.389,-79.866,117
Toboggan (Lakemont Park),Lakemont Park,closed,steel,Chance Rides,140.0,14.0,,,,1991-01-01,2016,40.4712,-78.3961,
Turbo Mountain,Adventure World,closed,steel,Anton Schwarzkopf,,,56.3269,480,,1991-01-01,2009,-32.0948,115.8164,
The Ultimate (roller coaster),Lightwater Valley,closed,steel,British Rail Engineering Limited,2268.0,33.0,80.0,400,,1991-07-17,,54.1739,-1.5687,454
Vortex (Canada's Wonderland),Canada's Wonderland,operating,steel,Arrow Dynamics,,,89.0,,,1991-05-12,,43.8419,-79.5435,96
Vortex (Great America),California's Great America,operating,steel,Bolliger & Mabillard,590.0,28.0,72.0,1200,,1991-03-09,,37.3967,-121.9732,134
Wildcat (Frontier City),Other,unknown,wood,National Amusement Devices,809.0,23.0,74.0,,,,1977,,,130
Batman: The Ride,Other,unknown,steel,Bolliger & Mabillard,,,80.0,1280,4.0,,,,,105
Blue Hawk (roller coaster),Other,unknown,steel,Vekoma,836.0,37.0,84.0,1300,4.0,,1991,,,80
Cosmic Coaster (Valleyfair),Other,unknown,steel,Zamperla,66.0,4.3,24.0,,,,2010,,,150
Desert Storm (roller coaster),Castles N' Coasters,operating,steel,Hopkins Rides,,,,,,1992-01-01,,33.5718,-112.1188,
Drachen Fire,Busch Gardens Williamsburg,closed,steel,Arrow Dynamics,1080.0,46.0,97.0,,,1992-04-04,July 1998,37.2306,-76.6444,
Dragon Coaster (Dorney Park),Other,unknown,steel,Zamperla,66.0,4.3,24.0,,,,2010,,,150
Eagle Fortress,Everland,closed,steel,Arrow Dynamics,980.0,,64.0,,,1992-09-08,January 2009,,,118
The Great Pumpkin Coaster,"Mason, Ohio, United States",operating,other,,,,,,,,,39.3448,-84.2686,
Jupiter (roller coaster),Kijima Kogen,operating,wood,Intamin,,,91.73238,,,1992-01-01,,33.2617,131.4281,154
Kingdom Coaster,Dutch Wonderland,operating,wood,Custom Coasters International,670.0,17.0,64.0,,,1992-05-16,,40.0295,-76.2173,90
Pepsi Orange Streak,Nickelodeon Universe,operating,steel,Zierer,820.0,18.0,64.0,1000,,1992-08-11,,,,150
Pipeline Express,Boardwalk Fun Park,closed,steel,"Bailey Rides, Inc.",370.0,14.0,24.0,,,1992-07-23,"September 7, 1992",32.761,-96.997,60
The Rattler (roller coaster),Six Flags Fiesta Texas,operating,steel,Rocky Mountain Construction,995.0,55.0,110.0,850,,2013-05-25,,,,
Runaway Mine Train (Alton Towers),Alton Towers,operating,steel,Mack Rides,300.0,11.0,36.0,1062,2.4,1992-03-21,,52.9897,-1.8856,110
Sierra Tonante,Mirabilandia,closed,wood,S.D.C.,1000.0,35.0,99.9,1200,4.0,1992-01-01,2007,44.3361,12.2619,90
Streamliner Coaster,Six Flags Fiesta Texas,operating,steel,Vekoma,85.0,,,670,,1992-03-14,,29.5965,-98.6099,
Vortex (Carowinds),Carowinds,operating,steel,Bolliger & Mabillard,620.0,27.0,80.0,,,1992-03-14,,35.1036,-80.9416,139
Batman The Escape,Other,unknown,steel,Intamin,700.0,27.0,89.0,,3.4,,,,,138
